"AreaCode","AreaName","CategoryAttribute","Denominator","Factor","HighestPriorityNotificationType","IndicatorCode","IndicatorName","IndicatorShortName","LowerConfidenceLimit","MetricCategoryName","MetricCategoryTypeName","NotificationCount","Numerator","TimePeriodName","UpperConfidenceLimit","Value","ValueNote"
"E54000051","Humber, Coast and Vale","Persons",218360,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.23,"Persons","Sex",0,101400,"To March 2022",46.65,46.44,NA
"E54000012","Joined Up Care Derbyshire","Persons",145350,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.46,"Persons","Sex",0,66450,"To March 2022",45.97,45.72,NA
"E54000032","Kent and Medway","Persons",235305,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.39,"Persons","Sex",0,107275,"To March 2022",45.79,45.59,NA
"E54000015","Leicester, Leicestershire and Rutland","Persons",142935,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.56,"Persons","Sex",0,71215,"To March 2022",50.08,49.82,NA
"E54000013","Lincolnshire","Persons",113710,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",47.09,"Persons","Sex",0,53875,"To March 2022",47.67,47.38,NA
"E54000026","Mid and South Essex","Persons",134495,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.05,"Persons","Sex",0,66325,"To March 2022",49.58,49.32,NA
"E54000022","Norfolk and Waveney Health and Care Partnership","Persons",150095,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.72,"Persons","Sex",0,70505,"To March 2022",47.23,46.98,NA
"E54000028","North London Partners in Health and Care","Persons",143235,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.57,"Persons","Sex",0,71380,"To March 2022",50.09,49.83,NA
"E54000027","North West London Health and Care Partnership","Persons",231420,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",53.4,"Persons","Sex",0,124045,"To March 2022",53.8,53.6,NA
"E54000020","Northamptonshire","Persons",85555,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",51,"Persons","Sex",0,43920,"To March 2022",51.67,51.34,NA
"E54000014","Nottingham and Nottinghamshire Health and Care","Persons",131285,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.16,"Persons","Sex",0,63585,"To March 2022",48.7,48.43,NA
"E54000030","Our Healthier South East London","Persons",167315,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.78,"Persons","Sex",0,78675,"To March 2022",47.26,47.02,NA
"E54000011","Shropshire and Telford and Wrekin","Persons",71120,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",43.28,"Persons","Sex",0,31045,"To March 2022",44.01,43.65,NA
"E54000038","Somerset","Persons",86525,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",43.84,"Persons","Sex",0,38220,"To March 2022",44.5,44.17,NA
"E54000031","South West London Health and Care Partnership","Persons",144040,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.64,"Persons","Sex",0,66110,"To March 2022",46.16,45.9,NA
"E54000009","South Yorkshire and Bassetlaw","Persons",191300,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",54.68,"Persons","Sex",0,105035,"To March 2022",55.13,54.91,NA
"E54000010","Staffordshire and Stoke on Trent","Persons",159320,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",47.77,"Persons","Sex",0,76500,"To March 2022",48.26,48.02,NA
"E54000023","Suffolk and North East Essex","Persons",136765,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.51,"Persons","Sex",0,62600,"To March 2022",46.04,45.77,NA
"E54000052","Surrey Heartlands Health and Care Partnership","Persons",106155,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",43.4,"Persons","Sex",0,46385,"To March 2022",44,43.7,NA
"E54000053","Sussex and East Surrey Health and Care Partnership","Persons",212840,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",44.18,"Persons","Sex",0,94480,"To March 2022",44.6,44.39,NA
"E54000016","The Black Country and West Birmingham","Persons",173650,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",53.37,"Persons","Sex",0,93090,"To March 2022",53.84,53.61,NA
"E54000054","West Yorkshire and Harrogate (Health and Care Partnership)","Persons",284340,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",53.15,"Persons","Sex",0,151645,"To March 2022",53.51,53.33,NA
"E54000040","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board","Persons",115850,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",43.59,"Persons","Sex",0,50825,"To June 2022",44.16,43.87,NA
"E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","Persons",101540,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",50.2,"Persons","Sex",0,51285,"To June 2022",50.81,50.51,NA
"E54000055","NHS Birmingham and Solihull Integrated Care Board","Persons",160345,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",54.35,"Persons","Sex",0,87535,"To June 2022",54.84,54.59,NA
"E54000062","NHS Black Country Integrated Care Board","Persons",157595,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",53.4,"Persons","Sex",0,84545,"To June 2022",53.89,53.65,NA
"E54000039","NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board","Persons",114480,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",44.86,"Persons","Sex",0,51690,"To June 2022",45.44,45.15,NA
"E54000044","NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board","Persons",202700,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",43.18,"Persons","Sex",0,87955,"To June 2022",43.61,43.39,NA
"E54000056","NHS Cambridgeshire and Peterborough Integrated Care Board","Persons",95905,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.39,"Persons","Sex",0,44790,"To June 2022",47.02,46.7,NA
"E54000008","NHS Cheshire and Merseyside Integrated Care Board","Persons",353465,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.84,"Persons","Sex",0,173215,"To June 2022",49.17,49,NA
"E54000036","NHS Cornwall and the Isles of Scilly Integrated Care Board","Persons",53705,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.04,"Persons","Sex",0,24955,"To June 2022",46.89,46.47,NA
"E54000018","NHS Coventry and Warwickshire Integrated Care Board","Persons",122590,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.34,"Persons","Sex",0,57150,"To June 2022",46.9,46.62,NA
"E54000058","NHS Derby and Derbyshire Integrated Care Board","Persons",149940,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.35,"Persons","Sex",0,69875,"To June 2022",46.85,46.6,NA
"E54000037","NHS Devon Integrated Care Board","Persons",136435,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.98,"Persons","Sex",0,63095,"To June 2022",46.51,46.25,NA
"E54000041","NHS Dorset Integrated Care Board","Persons",97615,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",43.23,"Persons","Sex",0,42505,"To June 2022",43.86,43.54,NA
"E54000034","NHS Frimley Integrated Care Board","Persons",79240,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.13,"Persons","Sex",0,39205,"To June 2022",49.82,49.47,NA
"E54000043","NHS Gloucestershire Integrated Care Board","Persons",83790,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",42.71,"Persons","Sex",0,36065,"To June 2022",43.38,43.04,NA
"E54000057","NHS Greater Manchester Integrated Care Board","Persons",297730,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",54.3,"Persons","Sex",0,162205,"To June 2022",54.66,54.48,NA
"E54000042","Nhs Hampshire And Isle Of Wight Integrated Care Board","Persons",214795,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",42.81,"Persons","Sex",0,92410,"To June 2022",43.23,43.02,NA
"E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","Persons",119930,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",42.18,"Persons","Sex",0,50920,"To June 2022",42.74,42.46,NA
"E54000025","NHS Hertfordshire and West Essex Integrated Care Board","Persons",172485,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",50.21,"Persons","Sex",0,87015,"To June 2022",50.68,50.45,NA
"E54000051","NHS Humber and North Yorkshire Integrated Care Board","Persons",219965,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",46.85,"Persons","Sex",0,103520,"To June 2022",47.27,47.06,NA
"E54000032","NHS Kent and Medway Integrated Care Board","Persons",240700,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",45.77,"Persons","Sex",0,110645,"To June 2022",46.17,45.97,NA
"E54000048","NHS Lancashire and South Cumbria Integrated Care Board","Persons",240165,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.13,"Persons","Sex",0,116075,"To June 2022",48.53,48.33,NA
"E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","Persons",143795,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.88,"Persons","Sex",0,72095,"To June 2022",50.39,50.14,NA
"E54000013","NHS Lincolnshire Integrated Care Board","Persons",118520,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.16,"Persons","Sex",0,57420,"To June 2022",48.73,48.45,NA
"E54000026","NHS Mid and South Essex Integrated Care Board","Persons",136145,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.69,"Persons","Sex",0,68005,"To June 2022",50.22,49.95,NA
"E54000022","Nhs Norfolk And Waveney Integrated Care Board","Persons",151255,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",47.54,"Persons","Sex",0,72290,"To June 2022",48.04,47.79,NA
"E54000028","NHS North Central London Integrated Care Board","Persons",151880,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",49.91,"Persons","Sex",0,76180,"To June 2022",50.41,50.16,NA
"E54000050","NHS North East and North Cumbria Integrated Care Board","Persons",424050,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",51.42,"Persons","Sex",0,218670,"To June 2022",51.72,51.57,NA
"E54000029","NHS North East London Integrated Care Board","Persons",203885,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",54.19,"Persons","Sex",0,110925,"To June 2022",54.62,54.4,NA
"E54000027","NHS North West London Integrated Care Board","Persons",238295,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",53.43,"Persons","Sex",0,127795,"To June 2022",53.83,53.63,NA
"E54000059","NHS Northamptonshire Integrated Care Board","Persons",89290,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",51.39,"Persons","Sex",0,46180,"To June 2022",52.05,51.72,NA
"E54000060","NHS Nottingham and Nottinghamshire Integrated Care Board","Persons",150865,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",48.81,"Persons","Sex",0,74020,"To June 2022",49.31,49.06,NA
"E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","Persons",75385,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",44.54,"Persons","Sex",0,33845,"To June 2022",45.25,44.89,NA
"E54000038","NHS Somerset Integrated Care Board","Persons",86050,1,NA,"CVDP008CHOL","Patients with no GP recorded CVD and either a GP recorded QRISK score of 10% or more, or CKD and diabetes, who are currently treated with lipid lowering therapy.","Cholesterol: Primary prevention of CVD treated with LLT (CVDP008CHOL)",44.51,"Persons","Sex",0,38590,"To June 2022",45.18,44.85,NA
